,0,1,class
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH+]Cc4ccccc4)cc-3oc2c1,8.879883,-12.38553,4
CC(C)(C)C1=CC(=CC=Cc2cc(C(C)(C)C)[o+]c(C(C)(C)C)c2)C=C(C(C)(C)C)[Te]1,-1.4570624,-5.8076367,7
CC(C)(C)C1=CC(=CC=Cc2cc(C(C)(C)C)[s+]c(C(C)(C)C)c2)C=C(C(C)(C)C)S1,-1.8043073,-6.5960255,7
CC(C)(C)C1=CC(=CC=Cc2cc(C(C)(C)C)[o+]c(C(C)(C)C)c2)C=C(C(C)(C)C)O1,-1.123481,-5.711255,7
CC(C)(C)C1=CC(=CC=Cc2cc(C(C)(C)C)[se+]c(C(C)(C)C)c2)C=C(C(C)(C)C)O1,-0.412764,-6.48657,7
CC(=CC(C)=C1C=C(C(C)(C)C)[Se]C(C(C)(C)C)=C1)c1cc(C(C)(C)C)[se+]c(C(C)(C)C)c1,0.77628887,-7.3405375,7
CC(C)(C)C1=CC(=CC=Cc2cc(C(C)(C)C)[se+]c(C(C)(C)C)c2)C=C(C(C)(C)C)[Se]1,-0.099799745,-7.1866255,7
CC(C)(C)C1=CC(=CC=Cc2cc(C(C)(C)C)[te+]c(C(C)(C)C)c2)C=C(C(C)(C)C)[Se]1,-0.84970474,-7.7999425,7
CC(=C1C=C(C(C)(C)C)C[Te](C(C)(C)C)=C1)c1cc(C(C)(C)C)[te+]c(C(C)(C)C)c1,-1.4546338,-9.3776045,7
CC(C)(C)C1=CC(=Cc2cc(C(C)(C)C)[te+]c(C(C)(C)C)c2)C=[Te](C(C)(C)C)C1,-1.4388363,-9.226699,7
CC(C)(C)C1=CC(=CC=Cc2cc(C(C)(C)C)[te+]c(C(C)(C)C)c2)C=C(C(C)(C)C)[Te]1,-1.4679474,-7.61042,7
CC(C)(C)C1=CC(=CC=Cc2cc(C(C)(C)C)[se+]c(C(C)(C)C)c2)C=C(C(C)(C)C)S1,-0.749453,-6.8371434,7
CC(C)(C)C1=CC(=CC=Cc2cc(C(C)(C)C)[te+]c(C(C)(C)C)c2)C=C(C(C)(C)C)S1,-1.4064066,-7.351176,7
C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)(O)C5=CC=O)c(C)c4CCC(=O)OC)C(CCC(=O)OC)=C3C,-3.3438008,-2.1953173,8
CC[N+](CC)=c1ccc2nc3ccc(N(C)C)cc3sc-2c1,4.1529737,-10.158923,4
CCCC[N+](CCCC)=c1ccc2nc3ccc(N(CC)CC)cc3sc-2c1,4.236787,-10.281185,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])cc-3sc2c1,5.974194,-10.936988,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])c(I)c-3sc2c1,6.662912,-9.806643,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH+]Cc4ccccc4)cc-3sc2c1,6.5713277,-12.876308,4
CCNc1ccc2nc3c4ccccc4c(=[NH2+])c(Br)c-3oc2c1Br,7.439636,-6.829046,4
CCNc1ccc2nc3c4ccccc4c(=[NH2+])c(I)c-3oc2c1I,8.483872,-6.806884,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])c(Br)c-3oc2c1,8.284648,-9.229207,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])cc-3oc2c1,8.987351,-10.763564,4
CCN(CC)c1ccc2nc3c4cc(I)ccc4c(=[NH2+])c(I)c-3oc2c1,10.116226,-9.27615,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])c(I)c-3oc2c1,9.183139,-9.096378,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH+]Cc4ccccc4)cc-3oc2c1,8.879961,-12.38528,4
CCN(CC)c1ccc2nc3c4cc(I)ccc4c(=[NH2+])cc-3oc2c1,9.938485,-10.589917,4
CC[NH+]=c1cc2[se]c3cc(N(CC)CC)ccc3nc-2c2ccccc12,7.437894,-11.934988,4
CC[NH+]=c1cc2sc3cc(N(CC)CC)ccc3nc-2c2ccccc12,6.2500505,-12.021656,4
CC[NH+]=c1cc2oc3cc(N(CC)CC)ccc3nc-2c2ccccc12,8.510149,-11.788594,4
COC(=O)CCC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CCC(=O)OC)c5C)C(C=O)=C4C)c(C=O)c3C,-3.5113635,-1.5441834,8
C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)OC)C(CCC(=O)OC)=C4C)c(C)c3C=O,-3.508706,-1.6300528,8
C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)OC)C(CCC(=O)OC)=C4C)c(C)c3C=C,-3.483622,-1.731324,8
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,-15.185661,-6.791595,9
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,-15.184373,-6.793437,9
COc1ccc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c1,-18.50795,-9.603271,9
COc1ccc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c1,-17.745892,-10.358239,9
COc1ccc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c1,-17.406708,-9.76804,9
COc1ccc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c1,-17.669205,-9.325414,9
COc1ccc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c1,-18.256771,-10.117622,9
COc1ccc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c1,-17.175463,-10.2377,9
